Acute_oral_toxicity,group,smiles
3.1559999,test,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
2.5369999,test,CCC(O)(COC(N)=O)c1ccccc1
1.405,test,CC(O)C(=O)O
2.54,test,O=C(O)c1c(Cl)ccc(Cl)c1Cl
5.2410002,test,Cc1c2oc3c(C)ccc(C(=O)N[C@@H]4C(=O)N[C@H](C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]4C)c3nc-2c(C(=O)N[C@@H]2C(=O)N[C@H](C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)[C@@H](C(C)C)C(=O)O[C@@H]2C)c(N)c1=O
2.0339999,test,ClCCN(Cc1ccccc1)Cc1ccccc1
3.5510001,test,C[C@H](N)Cc1ccccc1
4.1929998,test,CN(CCCl)CCCl
3.915,test,S=P(N1CC1)(N1CC1)N1CC1
2.9860001,test,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12
3.5109999,test,CN1CCC[C@H]1c1cccnc1
2.105,test,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
1.622,test,Cc1ncc(COP(=O)(O)O)c(C=O)c1O
3.645,test,CC(Cc1ccccc1)NN
2.2030001,test,Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1
1.977,test,Cc1cc(=O)[nH]c(=S)[nH]1
2.25,test,NCCCNCCCN
0.97600001,test,NCC(=O)O
3.0910001,test,C=C[C@H]1CN2CC[C@H]1CC2[C@@H](O)c1ccnc2ccc(OC)cc12
3.1989999,test,CC1CN1P(=O)(N1CC1C)N1CC1C
3.184,test,CCOC(=O)C1(c2ccccc2)CCN(C)CC1
1.062,test,OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
0.57999998,test,CC(O)CO
1.8099999,test,CN[C@@H]1[C@H](O[C@H]2[C@H](O[C@@H]3[C@@H](NC(=N)N)[C@H](O)[C@@H](NC(=N)N)[C@H](O)[C@H]3O)O[C@@H](C)[C@]2(O)C=O)O[C@@H](CO)[C@H](O)[C@H]1O
2.7520001,test,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
1.779,test,OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1
2.9030001,test,Cn1c(=O)c2[nH]cnc2n(C)c1=O
1.471,test,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O
