BCF,group,smiles
-1.7,training,Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl
-1,test,COCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
-0.80102998,training,CN(C)P(=O)(N(C)C)N(C)C
-0.73298693,training,CC(O)CN(CC(C)O)CC(C)O
-0.65051502,test,Oc1nc(O)nc(O)n1
-0.5,training,O=C(O)COc1ccc(Cl)cc1Cl
-0.39794001,test,O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1
-0.39794001,training,Nc1c(Cl)cc(-c2cc(Cl)c(N)c(S(=O)(=O)O)c2)cc1S(=O)(=O)O
-0.39691001,training,O=[N+]([O-])c1ccc([N+](=O)[O-])cc1
-0.33083847,training,N#CCCNCCC#N
-0.31176597,training,CC(C)C(O)C(C)(C)CO
-0.29588002,training,O=c1n(CCO)c(=O)n(CCO)c(=O)n1CCO
-0.28944892,training,S=C1NCCN1
-0.26757348,training,C1COCCO1
-0.25880235,training,COP(=O)(OC)OC
-0.24780267,training,CNc1ccc(C(=O)O)cc1
-0.247425,valid,CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C
-0.23,training,O=C(Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1)Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1
-0.22184876,valid,O=C(O)c1c(Cl)cccc1Cl
-0.22184876,training,O=C(O)C(O)(c1ccccc1)c1ccccc1
-0.19897,test,COP(=O)(OC)OC=C(Cl)Cl
-0.19897,training,NC(N)=S
-0.19897,training,O=C(O)C1CC=CCC1C(=O)O
-0.19897,training,O=C(O)C1CCCCC1C(=O)O
-0.19628899,training,O=C(O)c1ccc(Cl)c2c(Cl)ccc(C(=O)O)c12
-0.18837535,training,Nc1cccnc1
-0.16862108,training,O=C(O)c1ccc(Cl)c(Cl)c1
-0.16767901,training,O=C(O)C1C(C(=O)O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
-0.15937938,test,Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1
-0.15937938,test,CC1CCC(C(=O)O)C(C(=O)O)C1
-0.13868304,valid,O=[N+]([O-])c1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
-0.10650545,training,CN(C)C=O
-0.096910015,valid,O=C(O)COc1nc(Cl)c(Cl)cc1Cl
-0.096910015,training,COC(=O)c1sccc1S(=O)(=O)NC(=O)Nc1nc(C)nc(OC)n1
-0.096910015,training,O=C(O)c1c(Cl)ccc2cc(Cl)cnc12
-0.095388509,training,CCOP(=O)(OCC)OCC
-0.090474211,training,C=CCOP(=O)(OCC=C)OCC=C
-0.070581071,test,O=[PH](O)c1ccccc1
-0.068636239,valid,Cc1ccc([N+](=O)[O-])c([N+](=O)[O-])c1
-0.051638164,valid,CC(=O)N(C)c1ccccc1
-0.045757491,training,NCc1cccc(CN)c1
-0.037860356,test,CCCCCCCCCCCCCCCCCCS
-0.037860356,training,C[C@@H]1CC([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1
-0.036973082,training,OCC(CO)(CO)CO
-0.034827664,training,Cc1cc(=O)nc(C(C)C)[nH]1
-0.021436973,test,C1COCCN1
-0.015758526,test,N#CNC(=N)N
-0.015758526,valid,Nc1nc[nH]n1
0,test,CCOP(=S)(OCC)SCCS(=O)CC
0,training,Cc1cc(Cl)ccc1OCC(=O)O
0,training,O=S(=O)(O)c1cc(S(=O)(=O)O)c2cc(O)ccc2c1
0,training,O=C(O)c1nc(Cl)ccc1Cl
0,training,CNC(=O)Oc1cccc(/N=C/N(C)C)c1
0,training,O=CNC(N1CCN(C(NC=O)C(Cl)(Cl)Cl)CC1)C(Cl)(Cl)Cl
0,training,Nc1nc(N)nc(NC2CC2)n1
0.021030532,training,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(C(=O)OCC(CC)CCCC)c1
0.024986463,valid,O=C(O)C(Cl)(Cl)Cl
0.042690508,training,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O
0.05201523,training,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
0.073064014,training,O=C(O)c1c(Cl)ccc(Cl)c1Cl
0.077668019,training,O=P(O)(O)OCC(Cl)(Cl)Cl
0.079783596,valid,Nc1nc(N)nc(N)n1
0.085052811,training,CC1OC(C)OC(C)O1
0.093261197,training,COCN(COC)c1nc(N(COC)COC)nc(N(COC)COC)n1
0.093760356,test,C(=NC1CCCCC1)=NC1CCCCC1
0.09552075,training,CC(C)(C)C(=O)O
0.096562296,valid,OCCN(CCO)CCO
0.10205999,training,CS(C)=O
0.10205999,training,Cc1ccc(N)c(S(=O)(=O)O)c1
0.10745043,test,O=C(O)Cc1cccc2ccccc12
0.11065921,training,NCCNCCO
0.11394335,training,COc1nc(C)nc(NC(=O)NS(=O)(=O)c2ccccc2OCCCl)n1
0.13456482,training,COP(=S)(OC)Oc1ccc(S(C)=O)c(C)c1
0.15554731,training,Cc1ccccc1S(N)(=O)=O
0.15565372,training,CNC(=O)CSP(=S)(OC)OC
0.15739934,test,CC(C)(CO)CO
0.15864009,test,Nc1ccc2cc(S(=O)(=O)O)cc(O)c2c1
0.16282247,training,N#Cc1ccc(C#N)cc1
0.16447136,training,O=C1CCCCCCCCCCCN1
0.16456275,training,OCC(CO)(CBr)CBr
0.17609125,training,COc1ncc(F)c2nc(S(=O)(=O)Nc3c(F)cccc3F)nn12
0.17905994,training,CC/C(C)=N/O
0.18000001,training,COC(C)(C)C
0.19238038,training,COC(=O)Nc1nc2ccccc2[nH]1
0.19458304,training,CCN(CC)CC
0.19897,test,CCOP(=S)(S)OCC
0.19897,training,CC1CCCC(C)N1
0.20411998,training,CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1
0.20411998,training,COC(=O)c1ccccc1CS(=O)(=O)NC(=O)Nc1nc(OC)cc(OC)n1
0.20482458,training,CC(C)CN1CCOCC1
0.20858158,test,O=P(OCCCl)(OCCCl)OCCCl
0.22374184,training,Nc1ccncc1
0.22775179,valid,C1CNCCN1
0.23233922,training,O=[N+]([O-])c1ccc2[nH]cnc2c1
0.2405611,training,ClCCOCCCl
0.24369869,training,OC(C(F)(F)F)C(F)(F)F
0.24480674,training,OCC(O)c1ccccc1Cl
0.26989543,valid,Nc1cccc2c(N)cccc12
0.27815124,valid,Nc1ccc2ccccc2c1S(=O)(=O)O
0.28,training,Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1
0.2913774,training,O=NN(O)C1CCCCC1
0.29170105,training,CCN(CC)C(=O)c1cccc(C)c1
0.29509342,training,C=CCCl
0.29833156,training,CNC(=O)Oc1cc(C)cc(C)c1
0.30000001,test,O=S(=O)(O)c1ccc2cc(O)c(S(=O)(=O)O)cc2c1
0.30069092,test,CC(C)(O)C(Cl)(Cl)Cl
0.30103001,training,CNC(=O)O/N=C(\SC)C(=O)N(C)C
0.30706,training,Nc1ccccc1
0.30955619,test,Nc1cccc(Cl)c1
0.30963016,training,CCNc1nc(NCC)nc(SC)n1
0.31,training,Nc1cc(S(=O)(=O)O)c(O)c2c1C(=O)c1c(O)c(S(=O)(=O)O)cc(N)c1C2=O
0.31805071,training,O=C(O)c1cc2ccccc2cc1O
0.31874487,training,CCCCCCCCCCCCCCCCCC(=O)NCCNC(=O)CCCCCCCCCCCCCCCCC
0.31980768,test,O=Cc1ccc(Cl)cc1
