Carcinogenicity,group,smiles
1,training,[O-]c1ccccc1-c1ccccc1
1,training,Brc1cc(Br)c(-c2cc(Br)c(Br)cc2Br)cc1Br
0,training,Brc1cc(Br)c2cccnc2c1
0,training,Brc1cc(-c2ccc(Br)c(Br)c2Br)cc(Br)c1Br
1,test,C#C[C@@]1(O)CC[C@]2(C)[C@]1(C)CC[C@]1(C)c3ccc(OC)cc3CC[C@]12C
1,test,C#C[C@@]1(O)CCC2C3CCC4=C(CCC(=O)C4)C3CC[C@@]21C
1,training,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C
0,training,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=C[C@@H](OC(C)=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,training,C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21C
1,training,C#CC(OC(N)=O)(c1ccccc1)c1ccc(Cl)cc1
0,training,C/C(=C(\CCOC(=O)c1ccccc1)SC(=O)c1ccccc1)N(C=O)Cc1cnc(C)nc1N
1,training,C/C=C(/C)C(=O)O[C@H]1CCN2CC=C(COC(=O)[C@](O)([C@H](C)OC)C(C)(C)O)[C@H]12
1,training,C/C=C(\C)C(=O)O[C@@H]1CCN2CC=C(COC(=O)C(O)(C(C)C)C(C)O)[C@H]12
0,training,C/C=C/C=C/C(=O)O
1,training,C/C=C/C=C/C=O
1,training,C/C=C/C=O
0,training,C/C=C/c1ccc(OC)cc1
1,test,C/C=C/c1ccc2c(c1)OCO2
1,valid,C/C=C1/C[C@@H](C)[C@@](C)(O)C(=O)OCC2=CCN(C)CC[C@@H](OC1=O)C2=O
1,training,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CC[N+]3([O-])CC[C@@H](OC1=O)[C@@H]23
1,training,C/C=C1/C[C@@H](C)[C@](O)(CO)C(=O)OCC2=CCN3CC[C@@H](OC1=O)[C@@H]23
0,test,C[C@@H](Oc1ccc(Cl)cc1Cl)C(=O)O
0,training,C[C@@H]1C/C=C/C=C/C=C/C=C/[C@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N)[C@@H]2O)C[C@@H]2O[C@](O)(C[C@@H](O)C[C@H]3O[C@@H]3/C=C/C(=O)O1)C[C@H](O)[C@H]2C(=O)O
0,training,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
1,training,C[C@@H]1Cc2c(Cl)cc(C(=O)N[C@@H](Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1
1,training,C[C@@H]1CCCCN1N=O
0,training,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
0,training,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](Oc3c(-c4ccc(O)c(O)c4)oc4cc(O)cc(O)c4c3=O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O
0,training,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
1,training,C[C@]12C/C(=C/O)C(=O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O
1,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCCc1ccc(N(CCCl)CCCl)cc1
0,training,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
0,training,C[C@]12CC[C@@H]3c4ccc(OC(=O)Cc5ccc(N(CCCl)CCCl)cc5)cc4CC[C@H]3[C@@H]1CC[C@@H]2OC(=O)Cc1ccc(N(CCCl)CCCl)cc1
1,training,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
0,training,C[C@]12CC[C@H]3C(=CCc4cc(OS(=O)(=O)[O-])ccc43)[C@@H]1CCC2=O
0,training,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C
0,training,C[C@H](CCc1ccccc1)NC[C@H](O)c1ccc(O)c(C(N)=O)c1
1,training,C[C@H]1C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@](C)(O)[C@]1(C)O)[C@H]23
1,training,C[C@H]1C[C@@H](C)CN(S(=O)(=O)c2ccc(Cl)c(C(=O)O)c2)C1
0,training,C[C@H]1CCC[C@@H](C)N1CCCC(O)(c1ccccc1)c1ccccn1
0,training,C[C@H]1CCCC(=O)CCC/C=C/c2cc(O)cc(O)c2C(=O)O1
1,training,C[C@H]1CCCCN1N=O
1,test,C[C@H]1CN(N=O)C[C@H](C)O1
1,training,C[C@H]1OC12C[C@@H](C)[C@@](C)(O)C(=O)OCC1=CCN(C)CC[C@@H](OC2=O)C1=O
1,valid,C[N+]([O-])(CCCl)CCCl
0,training,C[N+](C)(C)CCCl
0,training,C[N+](C)(C)CCO
0,training,C[NH+](C)CCC(c1ccc(Cl)cc1)c1ccccn1
1,training,C=C(C)[C@H]1CC=C(C)CC1
0,training,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1
1,training,C=C(C)C
0,training,C=C(C)C#N
0,training,C=C(C)C(=O)OC
1,training,C=C(C)CCl
1,training,C=C(Cl)CSC(=S)N(CC)CC
0,training,C=C/C=N/O
1,training,C=C/C1=C/[C@H](C)[C@](C)(OC(C)=O)C(=O)OCC2=CC[N+]3(C)CC[C@@H](OC1=O)C23[O-]
0,training,C=C1C(CCl)(CCl)C2(Cl)C(Cl)C(Cl)C1(Cl)C2(Cl)Cl
1,valid,C=C1C/C(=C/C)C(=O)O[C@@H]2CCN3CC=C(COC(=O)[C@@]1(O)CO)[C@H]23
0,training,C=C1C[C@@]23CC[C@H]4[C@@](C)(CCC[C@@]4(C)C(=O)O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@@H]2CC[C@]1(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C3
0,training,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)CC[C@@H](O)C(C)(C)O
0,training,C=CC
1,training,C=CC#N
1,training,C=CC(=C)C
0,training,C=CC(=O)c1ccc2c(c1)OCO2
0,training,C=CC(=O)NCO
0,training,C=CC(=O)O
1,training,C=CC(=O)OCC
1,training,C=CC(N)=O
1,training,C=CC(O)c1ccc2c(c1)OCO2
1,training,C=CC(OC(C)=O)c1ccc2c(c1)OCO2
0,training,C=CC(OCC)OCC
1,valid,C=CC=C
0,valid,C=CC=O
0,training,C=CC1=C(C)C2=CC3=NC(=C(CC(=O)[O-])C4=NC(=C(C)C4=C([O-])[O-])C=c4[n-]c(c(C)c4CC)=CC1=N2)[C@@H](CCC(=O)[O-])[C@@H]3C
0,test,C=Cc1ccc(C)cc1
0,training,C=Cc1cccc(C)c1
0,training,C=Cc1cccc[n+]1[O-]
1,training,C=Cc1ccccc1
0,training,C=CCc1ccc(O)c(OC)c1
1,valid,C=CCc1ccc(OC)c(OC)c1
1,valid,C=CCc1ccc2c(c1)OCO2
0,test,C=CCCl
1,training,C=CCN(CC(C)=O)N=O
1,training,C=CCN(CC(C)O)N=O
1,training,C=CCN(CC(O)CO)N=O
