IGC50,group,smiles
2.6099999,test,O=C(O)c1ccc(Cl)cc1Cl
1.35,test,CCOC(N)=O
5.1799998,test,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
2.7,test,O=C(O)c1ccccc1
2.8269999,test,CCCCCC=O
3.46,test,O=[N+]([O-])c1cccc(O)c1[N+](=O)[O-]
4.6999998,test,O=c1oc2ccccc2c(O)c1Cc1c(O)c2ccccc2oc1=O
6.04,test,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl
1.569,test,CCCCO
3.3399999,test,CCC(C)(O)CCCC(C)C
2.6800001,test,CC(C)CBr
1.628,test,CC(C)CO
2.4400001,test,CC(N)CN
4.5100002,test,C=CC(C)=O
2.0699999,test,CC(O)CN
1.4299999,test,CCOC(=O)C(C)(C)O
3.122,test,CCC(Br)C(=O)O
3.5599999,test,Cc1cccc([N+](=O)[O-])c1C
3.8,test,O=C1C=C(O)C(=O)c2ccccc21
4.5999999,test,CCCCOC(=O)c1ccccc1C(=O)OCCCC
3.4300001,test,ClCc1cccc2ccccc12
3.3800001,test,Cc1c(N)cccc1Cl
4.21,test,Clc1cccc(Cl)c1Cl
4.1999998,test,Cc1cc(O)cc(C)c1Cl
2.848,test,CCC(CC)C(=O)O
4.6500001,test,O=[N+]([O-])c1ccc(O)cc1C(F)(F)F
3.6099999,test,CC(C)c1ccccc1O
3.26,test,Cc1ccccc1[N+](=O)[O-]
3.0799999,test,Nc1ccccc1[N+](=O)[O-]
3.8199999,test,Cc1ccc(Cl)cc1[N+](=O)[O-]
4.5300002,test,O=[N+]([O-])c1cc(Cl)c(Cl)cc1Cl
3.49,test,O=Cc1ccccc1Cl
2.49,test,COc1ccccc1O
4.8600001,test,Brc1cccc2ccccc12
5.1700001,test,Ic1cccc2ccccc12
4.0900002,test,Oc1ccccc1-c1ccccc1
2.4000001,test,COc1cccc(OC)c1O
2.7,test,c1ccc2nccnc2c1
2.9300001,test,COc1ccccc1[N+](=O)[O-]
3.9200001,test,CC(=O)c1ccc(-c2ccccc2)cc1
2.6400001,test,CCOc1ccccc1O
3.26,test,c1ccc2sccc2c1
3.9400001,test,Nc1ccccc1O
3.1800001,test,Oc1ccccc1Cl
2.71,test,Cc1ccc(N)c(C)c1
3.3499999,test,Cc1cc(Cl)ccc1N
4.0700002,test,Cc1ccc(Cl)c(Cl)c1
3.2,test,Cc1ccc(Cl)c(N)c1
2.6889999,test,CCC(C)C=O
1.37,test,OCC(O)CCl
4.9590001,test,COC(=O)CBr
2.4100001,test,Clc1cccs1
5.1599998,test,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1
2.73,test,C=C(C)C(=O)OCCCC
2.98,test,O=Cc1ccco1
2.73,test,ClC(Cl)(Cl)c1ccccc1
2.3399999,test,CC(O)c1ccccc1
4.1599998,test,O=[N+]([O-])c1ccc(Cl)c(Cl)c1
3.47,test,Nc1cc([N+](=O)[O-])ccc1O
3.98,test,CCC(C)c1ccc(O)cc1
3.47,test,CC(C)c1ccc(O)cc1
2.7,test,CC(=O)c1ccc(O)cc1
3.6500001,test,Cc1ccc([N+](=O)[O-])cc1
3.4300001,test,O=[N+]([O-])c1ccc(Cl)cc1
4.1199999,test,Nc1ccc([N+](=O)[O-])cc1
3.8299999,test,CCOc1ccc([N+](=O)[O-])cc1
3.0599999,test,ClCc1ccccc1
2.48,test,N#Cc1ccccc1
2.1700001,test,OCc1ccccc1
2.204,test,ON=C1CCCCC1
2.9000001,test,COc1ccccc1
4.0100002,test,Oc1cccc(Nc2ccccc2)c1
2.5999999,test,COC(=O)Cc1ccccc1
4.04,test,Oc1ccc(OCc2ccccc2)cc1
3.5799999,test,COC(=O)/C=C/c1ccccc1
2.8599999,test,CCOc1ccccc1
3.6099999,test,NC(=S)Nc1ccccc1
4.0700002,test,CCCCc1ccc(N)cc1
3.4000001,test,COc1ccc(Br)cc1
2.51,test,CCCC(=O)OCC
2.24,test,CCNC(=S)NCC
3.5599999,test,Clc1ccc(Br)cc1
3.05,test,Nc1ccc(Cl)cc1
3.54,test,Oc1ccc(Cl)cc1
2.293,test,CCCN
2.447,test,C#CC(C)(O)CC(C)C
3.21,test,CCCC(C)Br
3.22,test,Nc1cccc(Cl)c1
3.1099999,test,Cc1cc(C)cc(O)c1
3.0799999,test,Brc1ccccc1
2.01,test,Cc1cccnc1
2.8199999,test,CCCCBr
2.8,test,CCCCC
2.427,test,CCCCN
2.296,test,NCCCN
1.91,test,c1cc[nH]c1
1.73,test,CC(=O)OCC(C)C
2.513,test,CCCCCC(C)=O
1.351,test,CCNCCO
2.99,test,C1=CCCCC1
2.7320001,test,O=C(O)CCCCCCCCC(=O)O
2.997,test,CCCSCCC
3.415,test,CCCCCCCC(=O)Cl
1.626,test,CCCCOCCO
4.04,test,CCCCCC/C=C/C(=O)OC
4.2820001,test,CCCCCCCCCC=O
3.898,test,CCCCCCCCCCC(=O)O
5.1609998,test,CCCCCCCCCCCCO
4.7600002,test,CCCCCCCCCCCC=O
5.4499998,test,CCCCCCCCCCCCCO
4.6700001,test,CCCCCCCCCCCCCCO
3.8800001,test,Nc1ccc(O)c([N+](=O)[O-])c1
4.0799999,test,Clc1ccc(Cl)c(Cl)c1
4.04,test,Oc1ccc(Cl)cc1Cl
2.6199999,test,CC(=O)c1cccc(O)c1
3.75,test,Nc1ccc([N+](=O)[O-])cc1Cl
3.3099999,test,COC(=O)c1ccc(OC)cc1
2.77,test,CC(=O)Oc1ccccc1
2.78,test,CC(=O)Nc1ccc(C=O)cc1
3.161,test,CCCCC(C=O)CC
3.21,test,CCc1ccc(O)cc1
3.266,test,O=Cc1ccc(O)cc1
2.1489999,test,CCOC(=O)CCC(=O)OCC
2.7279999,test,CC(=O)CC(C)=O
