LC50,group,smiles
0.037,training,OCCO
0.056000002,training,CO
0.15000001,training,OCCOCCO
0.30899999,training,OCCOCCOCCO
0.34900001,training,CC(O)CO
0.361,test,CS(C)=O
0.449,training,C1N2CN3CN1CN(C2)C3
0.53399998,training,CCO
0.60000002,training,OC1COC(O)C(O)C1O
0.778,training,CC(C)O
0.84100002,test,CN(C)C=O
0.85399997,training,CC(C)=O
0.88999999,valid,CC1(C)NC(=O)NC1=O
0.898,valid,CC1(C)OCC(CO)O1
0.93099999,training,C1COCCO1
0.98500001,test,CCOCCOCCO
1.0369999,training,COCOC
1.043,training,CC(O)CC(C)(C)O
1.0549999,training,CC(C)(CC(=O)O)CC(=O)O
1.063,training,CC(C)(C)O
1.086,training,CC1(C)CC(=O)CC(=O)C1
1.102,training,OCCN(CCO)CCO
1.12,training,CCCO
1.1339999,valid,CCC(O)C(C)CO
1.153,training,CCOC(=O)C(F)(F)F
1.1799999,training,C1OCOCO1
1.2309999,training,CCOC(N)=O
1.234,training,CC1(C)C(=O)N(Cl)C(=O)N1Br
1.301,test,COP(=O)(OC)OC
1.3049999,test,CCC(C)O
1.308,training,OCCN1CCNCC1
1.35,training,CCC(C)=O
1.408,training,C#CC(C)(C)O
1.462,training,CCOCC
1.47,test,NCCO
1.474,test,CC(O)CN
1.52,training,N#CCCOCCC#N
1.524,training,C1CCOC1
1.559,training,CCC#N
1.589,training,CCCCO
1.613,training,CC#N
1.6390001,training,CN1CCNCC1
1.647,training,CCN1C(=O)CC(=O)N(CC)C1=S
1.65,training,CC1CNCCN1
1.6849999,test,OCCN1CCOCC1
1.7029999,training,CC(C)CO
1.748,test,CCC(=O)CC
1.771,training,NCCN1CCNCC1
1.777,training,Cc1cocn1
1.78,training,CCNCCO
1.794,test,NCCCN
1.8099999,training,NCCCN1CCN(CCCN)CC1
1.812,training,C1CN2CCN1CC2
1.817,valid,CC(N)CN
1.818,test,CCN(CC)CCO
1.842,training,CCCC(C)=O
1.851,test,OCCNCCO
1.885,test,CCN(CC)C(C)=O
1.897,valid,CN(C)N=O
1.905,training,C#CC(C)(O)CC
1.9119999,valid,O=C(O)C(Cl)(Cl)Cl
1.932,training,CCNCC
1.9349999,training,Cc1ccc(N)cc1N
1.937,test,N#CCCCCC#N
1.999,training,CC(=O)C(C)C
2.0139999,training,CC/C(C)=N/O
2.0150001,training,O=S(=O)([O-])c1ccc[n+](Cc2ccccc2)c1
2.016,training,Cc1ccccn1
2.056,test,Oc1ccc(Cl)cn1
2.0699999,test,OC1CCCCC1
2.072,training,OCCCCl
2.092,training,CCCCCCCC1CCC(=O)O1
2.1140001,training,CC(C)OC(C)C
2.115,training,Cc1nnc(N)nc1C
2.1170001,training,CC(C)=NO
2.118,test,COC(C)(C)C
2.1199999,training,CCN(CC)N=O
2.1259999,training,CC(=O)Nc1cccc(O)c1
2.1489999,training,C=C(C)C1CC=C(C)CC1
2.1559999,training,COCCN
2.1570001,training,N#Cc1ccccn1
2.1819999,training,CCC(C)(O)CC
2.1930001,training,O=C1CCCCC1
2.217,training,CCCCCO
2.2260001,training,CC(C)(C)CCN
2.263,training,NC(=O)c1ccccc1
2.2639999,training,CC(C)(C)CN
2.2690001,test,CC(=O)Nc1ccc(O)cc1
2.2690001,training,COC(C)=O
2.2709999,training,CC(=O)CC(C)C
2.283,training,CCCN
2.286,training,OCc1ccoc1
2.319,valid,Oc1cccnc1Cl
2.3640001,training,Cc1ccncc1
2.369,training,CCCCC(C)=O
2.3710001,test,OCc1ccccc1
2.392,training,OCCN(CCO)c1ccccc1
2.395,training,Cc1nc(C)c(C)o1
2.4119999,training,N#CCCCCCCC#N
2.4130001,training,CCc1ccccn1
2.4200001,test,CC/C=C\CCO
2.424,training,ClCCl
2.425,training,CCC(C)N
2.431,training,O=CC=O
2.4360001,training,CCCCN
2.4389999,training,CC(C)(O)C(F)(F)C(F)F
2.444,training,CC(N)=S
2.451,training,CC(C)OP(C)(=O)OC(C)C
2.4579999,training,Cc1ncc[nH]1
2.474,training,CC1CNCC(C)O1
2.487,test,CC(C)C(C)N
2.4949999,test,C=C(C)C(=O)OC
2.5009999,training,CCOC(=O)C(O)C(O)C(=O)OCC
2.5039999,training,c1cc[nH]c1
2.5369999,training,NC(=O)c1ccccc1N
2.5480001,training,CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC
2.5510001,training,CC(=O)OC(C)(C)C
2.5669999,valid,C=CCC#N
2.5680001,test,CC/C=C/CCO
2.569,valid,Oc1cccnc1Br
2.576,training,NCCN
2.5829999,test,CCOC(C)=O
2.586,training,CC(O)CCl
2.6010001,test,O=[N+]([O-])OCCOCCO[N+](=O)[O-]
2.6040001,training,OCCOc1ccccc1
2.608,training,NC(=O)c1c(Cl)cccc1Cl
2.6170001,training,CCOC(CN(C)CC(OCC)OCC)OCC
2.6470001,training,C#CCN(CC#C)CC#C
2.6700001,training,CCN(CC)CCCC(C)=O
2.681,training,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
