LC50DM,group,smiles
4.9619999,test,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O
5.2909999,test,CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2
3.0739999,test,CCOc1cc(NC(C)=O)ccc1C(=O)OC
4.8530002,test,Cc1cc(O)ccc1Cl
3.635,test,CC(N)=S
0.58700001,test,CCO
4.039,test,CCCCCC=O
0.495,test,CS(C)=O
0.70599997,test,CN(C)C=O
2.467,test,c1ccccc1
4.6350002,test,CBr
2.5869999,test,ClCCl
3.506,test,C=C(Cl)Cl
4.4029999,test,ClC(Cl)C(Cl)(Cl)Cl
6.7810001,test,ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl
3.171,test,CCC(=O)O
3.7920001,test,C=C1C2CCC(C2)C1(C)C
4.1440001,test,Cc1ccccc1[N+](=O)[O-]
4.0240002,test,O=[N+]([O-])c1ccccc1O
4.474,test,O=Cc1ccccc1O
5.3800001,test,Oc1ccccc1-c1ccccc1
4.0510001,test,c1ccc2ccccc2c1
4.0339999,test,O=c1ccc2ccccc2o1
3.4990001,test,O=C(O)COc1ccc(Cl)cc1Cl
5.7470002,test,Nc1ccc(Cl)c(Cl)c1
3.9749999,test,Cc1ccc([N+](=O)[O-])cc1C
4.3150001,test,Cc1ccc(C(C)C)cc1
5.7490001,test,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC
2.8369999,test,CCOC(=O)CC
4.4260001,test,Oc1ccc(Cl)cc1
5.8299999,test,C=CC=O
3.7839999,test,C=CC#N
3.756,test,CCCCNC(=S)NCCCC
3.3559999,test,CCCCC(=O)O
3.941,test,C1=CCCCC1
2.7750001,test,ClCCOCCCl
0.51999998,test,OCCOCCOCCO
6.4489999,test,CC1(C)C2CCC1(C)C(OC(=O)CSC#N)C2
3.711,test,c1ccc2cnccc2c1
4.6550002,test,Clc1ccc(Cl)c(Cl)c1
3.7160001,test,Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]
1.893,test,CC(=O)CC(C)=O
4.9949999,test,c1ccc2c(c1)oc1ccccc12
4.2210002,test,O=c1cc[nH]c(=S)[nH]1
1.2359999,test,CCC(O)C(C)CO
4.8920002,test,c1ccc2nc3ccccc3cc2c1
9.1610003,test,CCOP(=O)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.4229999,test,CCOP(=O)(OCC)O/C(=C/Cl)c1ccc(Cl)cc1Cl
4.3099999,test,Clc1cccc(Cl)c1
5.4169998,test,CN=C=S
4.329,test,BrC=C(Br)Br
5.4629998,test,Oc1cc(Cl)c(Cl)c(Cl)c1
4.9060001,test,CN1CCCC1=O
7.96,test,CCOP(=S)(CC)Sc1ccccc1
4.0009999,test,O=S1c2ccccc2-c2ccccc21
2.829,test,CC(C)OP(C)(=O)OC(C)C
4.5599999,test,CC(C)c1ccc2c(c1)CCC1[C@]2(C)CCC[C@@]1(C)C(=O)O
4.3610001,test,CCNc1nc(Cl)nc(NC(C)C)n1
2.346,test,NC(=O)c1c(Cl)cccc1Cl
5.4239998,test,Clc1ccccc1-c1ccccc1
2.1860001,test,CNC(=S)N(C)C
6.1859999,test,CCCN(CCC)C(=S)SSC(=S)N(CCC)CCC
2.2349999,test,CN(C)C(=S)N(C)C
9.1470003,test,CCOP(=S)(OCC)OP(=S)(OCC)OCC
5.4400001,test,Cc1cc(O)c(C(C)C)cc1N=Nc1ccc(S(=O)(=O)c2ccc(N=Nc3cc(C(C)C)c(O)cc3C)cc2)cc1
5.2709999,test,C=C(C)[C@H]1CC=C(C)CC1
6.2509999,test,N#CSCSC#N
4.4850001,test,CSc1nc(NC2CC2)nc(NC(C)(C)C)n1
6.8470001,test,CCCCNC(=O)OCC#CI
4.7199998,test,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1
7.4699998,training,Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1
4.592,training,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
9.0880003,training,COP(=O)(OC)C(O)C(Cl)(Cl)Cl
3.8510001,training,O=[N+]([O-])OCC(CO[N+](=O)[O-])O[N+](=O)[O-]
3.6429999,training,ClC(Cl)(Cl)Cl
8.2690001,training,CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1
5.3699999,training,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
6.2189999,training,c1ccc2cc3c(ccc4ccccc43)cc2c1
4.632,training,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
5.5450001,training,CC1=CC(=O)c2ccccc2C1=O
5.211,training,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
6.006,training,Oc1c(Cl)cc(Cl)c(Cl)c1Cl
3.1029999,training,O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O
5.1430001,training,CNC(=O)CSP(=S)(OC)OC
5.4130001,training,Nc1ccccc1
3.927,training,NC(N)=S
9.415,training,COP(=O)(OC)OC=C(Cl)Cl
5.3039999,training,CNC(=O)Oc1cccc2ccccc12
0.98900002,training,CO
0.67199999,training,CC(C)=O
3.2539999,training,ClC(Cl)Cl
4.9429998,training,ClC(Cl)(Cl)C(Cl)(Cl)Cl
0.94400001,training,CCCO
4.0760002,training,CC(Cl)(Cl)Cl
6.428,training,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
7.335,training,COc1ccc(C(c2ccc(OC)cc2)C(Cl)(Cl)Cl)cc1
1.057,training,CC#N
5.5630002,training,CCS
2.3429999,training,C1CO1
3.74,training,BrC(Br)Br
6.5120001,training,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
3.0610001,training,CC1=CC(=O)CC(C)(C)C1
3.306,training,CC(Cl)CCl
3.691,training,CCC(Cl)Cl
3.4920001,training,ClCC(Cl)Cl
3.378,training,ClC=C(Cl)Cl
2.648,training,C=CC(N)=O
3.4690001,training,ClC(Cl)C(Cl)Cl
4.2509999,training,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
3.5220001,training,CC1=CCC2CC1C2(C)C
5.3790002,training,c1cc2c3c(cccc3c1)CC2
4.5560002,training,Cc1cccc([N+](=O)[O-])c1C
8.0279999,training,C=C(C)[C@H]1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1
